,Title,Published_date,Views,Month
93,"Kahani Baaki Hai (Audio) - HIT: The First Case | Rajkummar, Sanya | Divya Kumar, Manan B | Bhushan K",26-07-2022,19608,Jul
94,"Galliyan Returns (Audio): Ek Villain Returns | John,Disha,Arjun,Tara | Ankit, Manoj, Mohit, Ektaa K",26-07-2022,276978,Jul
95,"Kahe Satnaam (Lyrical)- Sherdil: The Pilibhit Saga | Rahul Ram | Pankaj T, Sayani | Bhushan Kumar",25-07-2022,26049,Jul
96,Ram Sampath (Audio Jukebox) - Musical Jingles | Jee Le Zaraa | Ambarsariya | Dil Dooba | Bhushan K,25-07-2022,12043,Jul
97,"Dhoke Pyaar Ke - B Praak | Khushalii Kumar, Ehan Bhat, Vardhan Puri | Rochak Kohli | Bhushan Kumar",25-07-2022,30997497,Jul
98,"Tur Kalleyan(Video)-Laal Singh Chaddha |Aamir,Kareena | Arijit,Shadab,Altamash,Pritam,Amitabh,Advait",25-07-2022,11977770,Jul
99,"Nain Ta Heere (Video) By Lisa - JugJugg Jeeyo | Varun, Kiara | Vishal S | Guru R, Lisa M | Bhushan K",24-07-2022,2186500,Jul
100,"Audio: Pushpa Mashup | DJ Abhi India | Allu Arjun, Rashmika Mandanna | DSP",24-07-2022,76672,Jul
101,"Srivalli Remix (Audio) | DJ Kiran Kamath | Pushpa | Allu Arjun, Rashmika Mandanna | Javed Ali | DSP",23-07-2022,77472,Jul
102,"Vikrant Rona - Promo || Kichcha Sudeep, Jacqueline Fernandez || Anup B | Ajaneesh | Shalini Artss",23-07-2022,43272,Jul
103,"Villain Vs Villain (Faceoff Promo) - Ek Villain Returns | JOHN, DISHA, ARJUN, TARA | Bhushan K",23-07-2022,3488727,Jul
104,"Dhoke Pyaar Ke (Teaser) - B Praak | Khushalii Kumar,Ehan Bhat,Vardhan Puri | Rochak Kohli |Bhushan K",23-07-2022,1819463,Jul
105,Meet team behind Vikrant Rona‚??s 3D Experience | Vikrant Rona 5 days to Go | Kichcha Sudeep | Anup,23-07-2022,16408,Jul
106,Harmonious Himesh - 101 Hits Of Himesh Reshammiya | Aashiq Banaya Aapne | Gustakh Dil | Bichdann,23-07-2022,235807,Jul
107,"Cine Audio: Satyameva Jayate 2 (Ep 07) - Antim Yuddh | John Abraham, Divya Khosla Kumar | Bhushan K",22-07-2022,49916,Jul
108,"Cine Audio: Satyameva Jayate 2 (Ep 06) - Haarna Nahi Chahiye | John Abraham, Divya K | Bhushan K",22-07-2022,14495,Jul
109,"Cine Audio: Satyameva Jayate 2 (Ep 05) - Hasi Majaak Karte Hain | John Abraham, Divya K | Bhushan K",22-07-2022,8744,Jul
110,"Cine Audio: Satyameva Jayate 2 (Ep 04) - Bhai Ki Ladai | John Abraham,Divya Khosla Kumar | Bhushan K",22-07-2022,7147,Jul
111,"Cine Audio: Satyameva Jayate 2 (Ep 03) - Zindagi Aur Maut | John Abraham, Divya K | Bhushan K",22-07-2022,7448,Jul
112,"Cine Audio: Satyameva Jayate 2 (Ep 02) - The Political Game | John Abraham, Divya K | Bhushan K",22-07-2022,11694,Jul
113,"Cine Audio: Satyameva Jayate 2 (Ep 01) - New Hero In Nation | John Abraham, Divya K | Bhushan K",22-07-2022,12459,Jul
114,Divya Khosla Kumar - Demonstrative Hits | Designer | Yaad Piya Ki | Honey Honey | Bhushan Kumar,22-07-2022,157321,Jul
115,BANARAS ‚?? MAIYA MERI | ZAID KHAN | SONAL MONTEIRO | JAYATHIRTHA | B. AJANEESH LOKNATH |RASHMEET KAUR,22-07-2022,39855,Jul
116,"Naa Tere Bin - Ek Villain Returns | John, Disha, Arjun, Tara | Tanishk B, Altamash F | Bhushan K",22-07-2022,11176907,Jul
117,"Shaamat (Lyrical) - Ek Villain Returns | John,Disha,Arjun,Tara | Ankit T,Prince D, Mohit S, Ektaa K",22-07-2022,4871976,Jul
118,Costume Designer Neetha Shetty - Sneak Peek | Vikrant Rona 6 days to Go | Kichcha Sudeep | Anup,22-07-2022,13248,Jul
119,Armaan Malik - The Musical Archduke | Audio Jukebox | Tum Jo Mile | Beliya | Hits of Armaan Malik,21-07-2022,65911,Jul
120,"Hindustan Meri Jaan (Lyrical) Shabaash Mithu | Taapsee | Kailash Kher, Amit T, Swanand K | Bhushan K",21-07-2022,51970,Jul
121,The Devil's Fury - Gumma Banda Gumma | Theme Song Hindi | Vikrant Rona | Kichcha Sudeep | Anup,21-07-2022,2526787,Jul
122,The World of Laal Singh Chaddha | Aamir | Kareena | Advait | Mona | Chaitanya,20-07-2022,1087891,Jul
123,Woh Beetey Din - Create your Moves #Shorts #TanyaSinggh #WohBeeteyDin,20-07-2022,212299,Jul
124,"Tinka (Audio) - HIT: The First Case | Rajkummar, Sanya | Jubin Nautiyal, Manan Bhardwaj | Bhushan K",20-07-2022,45917,Jul
